outcome,model,contrast,estimate,std.error,conf.low,conf.high,p.value,scale
MHC-SF,Model 1,Infrequent versus none,3.3896,0.5167,2.3767,4.4026,5.889e-11,mean difference
MHC-SF,Model 1,Regular versus none,7.5248,0.5838,6.3804,8.6693,1.861e-37,mean difference
MHC-SF,Model 1,Weekly or daily versus none,14.9907,1.0502,12.9318,17.0496,2.184e-45,mean difference
MHC-SF,Model 2,Infrequent versus none,3.0270,0.5194,2.0089,4.0452,5.928e-09,mean difference
MHC-SF,Model 2,Regular versus none,6.7885,0.6037,5.6050,7.9719,5.195e-29,mean difference
MHC-SF,Model 2,Weekly or daily versus none,14.0820,1.0896,11.9461,16.2180,1.200e-37,mean difference
MHC-SF,Model 3,Infrequent versus none,1.0721,0.4753,0.1404,2.0039,0.0241,mean difference
MHC-SF,Model 3,Regular versus none,3.5911,0.5629,2.4876,4.6946,1.925e-10,mean difference
MHC-SF,Model 3,Weekly or daily versus none,9.8704,1.0047,7.9007,11.8401,1.382e-22,mean difference
CES-D,Model 1,Infrequent versus none,-0.1342,0.0846,-0.3001,0.0316,0.1126,mean difference
CES-D,Model 1,Regular versus none,-0.4957,0.0953,-0.6826,-0.3088,2.064e-07,mean difference
CES-D,Model 1,Weekly or daily versus none,-0.2353,0.1786,-0.5854,0.1147,0.1876,mean difference
CES-D,Model 2,Infrequent versus none,-0.1034,0.0854,-0.2708,0.0640,0.2260,mean difference
CES-D,Model 2,Regular versus none,-0.4395,0.0987,-0.6330,-0.2460,8.667e-06,mean difference
CES-D,Model 2,Weekly or daily versus none,-0.2435,0.1854,-0.6070,0.1200,0.1891,mean difference
CES-D,Model 3,Infrequent versus none,0.1431,0.0774,-0.0085,0.2948,0.0644,mean difference
CES-D,Model 3,Regular versus none,-0.0354,0.0924,-0.2166,0.1457,0.7014,mean difference
CES-D,Model 3,Weekly or daily versus none,0.3160,0.1883,-0.0531,0.6852,0.0934,mean difference
CES-D threshold,Model 1,Infrequent versus none,0.9890,0.0271,0.9378,1.0431,0.6845,prevalence ratio
CES-D threshold,Model 1,Regular versus none,0.9149,0.0319,0.8596,0.9739,0.0053,prevalence ratio
CES-D threshold,Model 1,Weekly or daily versus none,0.9993,0.0536,0.8996,1.1099,0.9889,prevalence ratio
CES-D threshold,Model 2,Infrequent versus none,0.9955,0.0275,0.9434,1.0506,0.8703,prevalence ratio
CES-D threshold,Model 2,Regular versus none,0.9230,0.0335,0.8644,0.9856,0.0167,prevalence ratio
CES-D threshold,Model 2,Weekly or daily versus none,0.9746,0.0567,0.8721,1.0892,0.6500,prevalence ratio
CES-D threshold,Model 3,Infrequent versus none,1.0471,0.0263,0.9946,1.1025,0.0798,prevalence ratio
CES-D threshold,Model 3,Regular versus none,1.0053,0.0328,0.9427,1.0720,0.8723,prevalence ratio
CES-D threshold,Model 3,Weekly or daily versus none,1.1137,0.0596,0.9910,1.2517,0.0706,prevalence ratio
